iter	Passed	Remaining
0	7	2706
1	15	2614
2	21	2510
3	28	2469
4	35	2438
5	42	2417
6	48	2364
7	55	2355
8	61	2342
9	68	2339
10	76	2346
11	83	2340
12	90	2333
13	97	2330
14	104	2325
15	110	2313
16	117	2305
17	124	2302
18	131	2284
19	138	2278
20	145	2274
21	152	2271
22	159	2267
23	166	2257
24	182	2377
25	189	2365
26	196	2352
27	203	2340
28	217	2403
29	224	2393
30	231	2379
31	238	2370
32	245	2357
33	252	2348
34	259	2336
35	266	2324
36	273	2311
37	280	2301
38	287	2291
39	294	2281
40	301	2271
41	308	2261
42	315	2252
43	322	2241
44	329	2233
45	336	2223
46	343	2212
47	351	2212
48	359	2207
49	366	2198
50	373	2188
51	380	2180
52	387	2169
53	393	2155
54	400	2147
55	407	2139
56	414	2130
57	426	2145
58	433	2137
59	440	2127
60	447	2119
61	454	2109
62	460	2099
63	467	2089
64	474	2081
65	481	2073
66	488	2065
67	495	2055
68	502	2046
69	509	2039
70	516	2030
71	523	2021
72	530	2013
73	537	2005
74	546	2003
75	553	1993
76	559	1985
77	566	1976
78	573	1968
79	580	1960
80	587	1951
81	594	1943
82	601	1933
83	608	1925
84	615	1919
85	622	1912
86	634	1919
87	642	1911
88	649	1904
89	656	1896
90	663	1888
91	670	1880
92	677	1871
93	688	1873
94	694	1864
95	701	1856
96	708	1848
97	715	1840
98	722	1831
99	729	1823
100	736	1815
101	743	1806
102	750	1798
103	756	1790
104	763	1782
105	770	1774
106	777	1765
107	783	1756
108	790	1748
109	797	1740
110	804	1731
111	810	1723
112	817	1715
113	824	1707
114	831	1698
115	842	1699
116	849	1691
117	856	1683
118	864	1678
119	871	1670
120	878	1662
121	884	1653
122	892	1646
123	900	1640
124	909	1636
125	916	1628
126	922	1620
127	929	1612
128	936	1604
129	943	1596
130	949	1588
131	956	1580
132	963	1572
133	970	1564
134	976	1555
135	983	1547
136	990	1539
137	996	1531
138	1003	1523
139	1010	1515
140	1017	1507
141	1023	1499
142	1030	1491
143	1037	1484
144	1048	1481
145	1055	1475
146	1062	1467
147	1069	1459
148	1076	1451
149	1083	1444
150	1090	1436
151	1097	1429
152	1103	1421
153	1110	1413
154	1117	1405
155	1124	1397
156	1130	1389
157	1137	1382
158	1144	1374
159	1151	1367
160	1157	1359
161	1164	1351
162	1171	1343
163	1178	1336
164	1185	1328
165	1191	1320
166	1198	1313
167	1205	1305
168	1212	1298
169	1219	1291
170	1226	1283
171	1233	1276
172	1240	1268
173	1249	1263
174	1259	1259
175	1266	1252
176	1273	1244
177	1280	1237
178	1287	1229
179	1294	1222
180	1301	1214
181	1308	1207
182	1314	1199
183	1321	1192
184	1328	1184
185	1335	1177
186	1342	1170
187	1349	1162
188	1355	1155
189	1362	1147
190	1369	1140
191	1376	1132
192	1383	1125
193	1390	1117
194	1396	1110
195	1403	1102
196	1410	1095
197	1417	1088
198	1424	1080
199	1431	1073
200	1438	1066
201	1445	1058
202	1456	1054
203	1463	1047
204	1470	1039
205	1477	1032
206	1484	1025
207	1491	1018
208	1498	1010
209	1504	1003
210	1511	995
211	1518	988
212	1526	981
213	1533	974
214	1540	967
215	1547	959
216	1554	952
217	1560	945
218	1567	937
219	1575	930
220	1582	923
221	1589	916
222	1596	909
223	1603	901
224	1610	894
225	1617	887
226	1624	879
227	1631	872
228	1637	865
229	1644	857
230	1651	850
231	1665	847
232	1672	840
233	1679	832
234	1686	825
235	1693	818
236	1700	810
237	1707	803
238	1714	796
239	1721	789
240	1728	781
241	1735	774
242	1742	767
243	1749	759
244	1755	752
245	1762	745
246	1769	737
247	1776	730
248	1783	723
249	1790	716
250	1797	708
251	1804	701
252	1810	694
253	1817	687
254	1824	679
255	1831	672
256	1838	665
257	1846	658
258	1854	651
259	1861	644
260	1871	638
261	1879	631
262	1885	623
263	1892	616
264	1900	609
265	1908	602
266	1920	596
267	1927	589
268	1934	582
269	1941	575
270	1948	567
271	1954	560
272	1961	553
273	1968	545
274	1975	538
275	1982	531
276	1988	524
277	1995	516
278	2002	509
279	2009	502
280	2016	495
281	2023	487
282	2029	480
283	2036	473
284	2043	466
285	2050	458
286	2057	451
287	2064	444
288	2075	438
289	2084	431
290	2091	423
291	2097	416
292	2104	409
293	2111	402
294	2118	394
295	2124	387
296	2131	380
297	2138	373
298	2145	365
299	2151	358
300	2158	351
301	2164	344
302	2171	336
303	2178	329
304	2184	322
305	2191	315
306	2198	307
307	2205	300
308	2211	293
309	2218	286
310	2225	279
311	2232	271
312	2238	264
313	2245	257
314	2252	250
315	2259	243
316	2266	235
317	2274	228
318	2284	221
319	2291	214
320	2297	207
321	2304	200
322	2311	193
323	2318	186
324	2325	178
325	2331	171
326	2338	164
327	2345	157
328	2352	150
329	2358	142
330	2365	135
331	2372	128
332	2379	121
333	2385	114
334	2392	107
335	2399	99
336	2406	92
337	2413	85
338	2420	78
339	2427	71
340	2434	64
341	2440	57
342	2447	49
343	2454	42
344	2460	35
345	2467	28
346	2475	21
347	2485	14
348	2493	7
349	2499	0
